time,open,high,low,close,Volume
2021-08-26,373.92,374.62,371.97,372.42,29133325
2021-08-27,373.07,376.56,372.57,376.04,27104749
2021-08-30,376.85,380.76,376.83,380.26,27295665
2021-08-31,380.51,380.579,378.36,379.95,29628175
2021-09-01,381.04,382.71,380.37,380.58,28138311
2021-09-02,381.97,382.31,379.15,380.4,25503535
2021-09-03,379.22,381.98,379.2003,381.57,24624937
2021-09-07,381.68,382.778,380.4882,382.11,23970203
2021-09-08,381.93,381.93,378.45,380.78,32949159
2021-09-09,381.01,382.15,379.22,379.47,29398978
2021-09-10,381.23,381.97,376.245,376.59,40249405
2021-09-13,378.99,379.43,374.22,376.33,48741781
2021-09-14,377.86,378.61,374.28,375.26,41826624
2021-09-15,375.73,378.41,373.37,378.05,34097865
2021-09-16,376.68,378.9,374.695,378.31,35193083
2021-09-17,377.82,377.87,372.76,373.83,60912267
2021-09-20,367.46,369.25,360.93,365.7,76203202
2021-09-21,367.58,368.81,364.99,366.15,41927483
2021-09-22,367.09,371.07,365.9584,369.57,46972920
2021-09-23,370.76,374.04,370.099,372.98,44652002
2021-09-24,370.65,373.76,370.27,373.33,36056800
2021-09-27,370.2,371.2516,367.73,370.35,43338079
2021-09-28,365.67,370.302,359.35,359.87,97701632
2021-09-29,361.17,363.37,358.635,359.28,58076621
2021-09-30,360.97,362.68,357.1,357.96,61384577
2021-10-01,358.6,361.25,354.38,360.18,56375488
2021-10-04,358.52,358.86,350.32,352.62,76766005
2021-10-05,353.71,359.69,353.48,357.38,47232904
2021-10-06,354.08,359.95,353.15,359.67,56806536
2021-10-07,362.8,365.69,362.25,362.97,39411172
2021-10-08,364.08,364.3166,360.61,361.16,41822309
2021-10-11,359.58,363.2,358.3,358.39,34847182
2021-10-12,359.88,360.33,356.48,357.14,43905101
2021-10-13,359.51,360.69,357.43,360,40120795
2021-10-14,363.69,366.85,363.01,366.63,43433867
2021-10-15,367.88,369.06,366.82,368.94,40419878
2021-10-18,367.61,372.87,366.99,372.65,34513514
2021-10-19,373.75,375.52,372.6974,375.47,29090963
2021-10-20,375.94,376.565,373.46,374.98,31390338
2021-10-21,374.16,377.47,373.85,377.27,25469277
2021-10-22,375.98,376.97,372.385,374.1,36275822
2021-10-25,375.56,378.87,373.56,377.93,32597804
2021-10-26,380.23,382.71,377.905,379.12,47191279
2021-10-27,379.58,383.15,379.31,380,45760496
2021-10-28,381.95,384.48,381.155,384.22,38007005
